GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Microservice for task,ru.diasoft.micro.model,SmsDeliveredMessageMock,6,0,0,0,3,0,1,0,1,0
Microservice for task,ru.diasoft.micro.model,SmsDeliveredMessage,93,0,14,0,5,0,16,0,9,0
Microservice for task,ru.diasoft.micro.model,SmsDeliveredMessage.SmsDeliveredMessageBuilder,26,0,0,0,1,0,4,0,4,0
Microservice for task,ru.diasoft.micro.model,SmsVerificationMessageMock,12,0,0,0,5,0,1,0,1,0
Microservice for task,ru.diasoft.micro.model,SmsVerificationMessage.SmsVerificationMessageBuilder,50,0,0,0,1,0,6,0,6,0
Microservice for task,ru.diasoft.micro.model,SmsVerificationMessage,185,0,30,0,7,0,28,0,13,0
Microservice for task,ru.diasoft.micro.smsverificationdelivered.subscribe,SmsVerificationDeliveredSubscribeChannelBinding,3,0,0,0,1,0,1,0,1,0
Microservice for task,ru.diasoft.micro.smsverificationdelivered.subscribe,SmsVerificationDeliveredSubscribeListenerServiceMock,23,0,2,0,5,0,3,0,2,0
Microservice for task,ru.diasoft.micro.smsverificationdelivered.subscribe,SmsVerificationDeliveredSubscribeListener,8,0,0,0,3,0,2,0,2,0
Microservice for task,ru.diasoft.micro.smsverificationmessage.publish,SmsVerificationMessagePublishMockController,16,0,0,0,4,0,2,0,2,0
Microservice for task,ru.diasoft.micro.smsverificationmessage.publish,SmsVerificationMessagePublishChannelBinding,3,0,0,0,1,0,1,0,1,0
Microservice for task,ru.diasoft.micro.domain,SmsVerificationCheckRequest,135,0,22,0,5,0,21,0,10,0
Microservice for task,ru.diasoft.micro.domain,SmsVerificationCheckRequestMock,9,0,0,0,4,0,1,0,1,0
Microservice for task,ru.diasoft.micro.domain,SmsVerificationCheckResponse,89,0,14,0,4,0,15,0,8,0
Microservice for task,ru.diasoft.micro.domain,SmsVerificationCheckResponseMock,6,0,0,0,3,0,1,0,1,0
Microservice for task,ru.diasoft.micro.domain,SmsVerificationPostResponseMock,6,0,0,0,3,0,1,0,1,0
Microservice for task,ru.diasoft.micro.domain,SmsVerificationPostRequestMock,6,0,0,0,3,0,1,0,1,0
Microservice for task,ru.diasoft.micro.domain,SmsVerificationPostRequest,89,0,14,0,4,0,15,0,8,0
Microservice for task,ru.diasoft.micro.domain,SmsVerificationPostResponse,89,0,14,0,4,0,15,0,8,0
Microservice for task,ru.diasoft.micro.service,SmsVerificationServiceMock,11,0,0,0,3,0,3,0,3,0
Microservice for task,ru.diasoft.micro.config,RestTemplateConfig,16,0,0,0,5,0,2,0,2,0
Microservice for task,ru.diasoft.micro.config,SecurityConfig,88,0,2,0,9,0,3,0,2,0
Microservice for task,ru.diasoft.micro.config,ServletInitializer,12,0,0,0,2,0,2,0,2,0
Microservice for task,ru.diasoft.micro,TaskApplication,8,0,0,0,3,0,2,0,2,0
Microservice for task,ru.diasoft.micro.controller,SmsVerificationController,46,0,4,0,11,0,5,0,3,0
